date,screen_resolution,visits
2018-12-02,1670x939,10027
2018-12-02,1676x943,1019
2018-12-02,1680x1050,280688
2018-12-02,1680x945,2476
2018-12-02,1684x947,5296
2018-12-02,1707x1067,1492
2018-12-02,1707x1365,1236
2018-12-02,1707x960,19901
2018-12-02,1708x960,4800
2018-12-02,1739x979,1577
2018-12-02,1745x982,10727
2018-12-02,1760x990,1516
2018-12-02,1778x1000,3799
2018-12-02,1821x1024,15844
2018-12-02,1824x1216,1492
2018-12-02,1829x1029,12744
2018-12-02,1882x1059,1913
2018-12-02,1920x1080,1682844
2018-12-02,1920x1200,131216
2018-12-02,1951x1097,1800
2018-12-02,2000x1125,1409
2018-12-02,2000x2000,7555
2018-12-02,2021x1137,8501
2018-12-02,2048x1152,58202
2018-12-02,2048x864,1419
2018-12-02,2133x1200,8795
2018-12-02,2195x1235,3007
2018-12-02,2259x1271,3163
2018-12-02,2400x1350,2576
2018-12-02,240x320,7648
2018-12-02,2560x1080,18439
2018-12-02,2560x1440,198267
2018-12-02,2560x1600,5392
2018-12-02,2752x1152,1653
2018-12-02,3000x3000,2589
2018-12-02,3072x1728,2206
2018-12-02,313x445,1051
2018-12-02,320x480,22731
2018-12-02,320x528,2030
2018-12-02,320x534,73268
2018-12-02,320x568,771242
2018-12-02,320x569,94528
2018-12-02,320x570,154782
2018-12-02,320x640,17600
2018-12-02,320x658,34184
2018-12-02,320x694,1589
2018-12-02,342x487,1028
2018-12-02,3440x1440,11934
2018-12-02,346x615,1905
2018-12-02,346x692,1085
2018-12-02,357x595,2076
2018-12-02,360x592,7343
2018-12-02,360x597,1127
2018-12-02,360x598,1771
2018-12-02,360x640,2295630
2018-12-02,360x668,9332
2018-12-02,360x670,1340
2018-12-02,360x692,4371
2018-12-02,360x720,194333
2018-12-02,360x740,538709
2018-12-02,360x747,6480
2018-12-02,360x748,4959
2018-12-02,360x749,1335
2018-12-02,360x760,33620
2018-12-02,360x780,13584
2018-12-02,361x642,1004
2018-12-02,375x667,2857898
2018-12-02,375x812,1128810
2018-12-02,376x668,5907
2018-12-02,377x670,6664
2018-12-02,377x753,4104
2018-12-02,3840x1600,1078
2018-12-02,3840x2160,4175
2018-12-02,393x699,5471
2018-12-02,393x786,37202
2018-12-02,393x817,1883
2018-12-02,393x818,1070
2018-12-02,393x830,1732
2018-12-02,400x640,1346
2018-12-02,403x671,1811
2018-12-02,408x791,1219
2018-12-02,412x618,2397
2018-12-02,412x732,268512
2018-12-02,412x823,91220
2018-12-02,412x846,631573
2018-12-02,412x869,13096
2018-12-02,412x892,27894
2018-12-02,414x736,1838843
2018-12-02,414x803,3674
2018-12-02,414x851,1223
2018-12-02,414x896,348655
2018-12-02,424x753,36913
2018-12-02,424x848,6976
2018-12-02,424x895,1310
2018-12-02,432x768,2029
2018-12-02,438x854,4013
2018-12-02,455x809,1536
2018-12-02,455x960,1029
2018-12-02,480x800,1701
2018-12-02,480x854,4401
2018-12-02,485x861,1855
2018-12-02,485x969,3291
2018-12-02,485x995,1295
2018-12-02,486x863,3001
2018-12-02,534x320,1342
2018-12-02,534x854,6703
2018-12-02,540x960,1726
2018-12-02,569x320,1770
2018-12-02,570x320,3051
2018-12-02,600x1024,22836
2018-12-02,600x960,10058
2018-12-02,601x962,55869
2018-12-02,640x360,28566
2018-12-02,640x480,1506
2018-12-02,656x335,3270
2018-12-02,683x911,4224
2018-12-02,686x1098,1723
2018-12-02,712x1138,1182
2018-12-02,720x1280,4593
2018-12-02,720x360,1861
2018-12-02,732x412,2401
2018-12-02,740x360,4144
2018-12-02,768x1024,1008939
2018-12-02,800x1280,39714
2018-12-02,800x600,27079
2018-12-02,819x614,2044
2018-12-02,820x615,1352
2018-12-02,834x1112,76988
2018-12-02,834x1194,6223
2018-12-02,846x412,4494
2018-12-02,853x683,1031
2018-12-02,854x534,4478
2018-12-02,911x512,4283
2018-12-02,911x683,2514
2018-12-02,942x530,1182
2018-12-02,960x540,3336
2018-12-02,960x600,9589
2018-12-02,962x601,25219
2018-12-02,976x549,1677
2018-12-03,0x0,1380
2018-12-03,1011x568,1062
2018-12-03,1012x569,4454
2018-12-03,1024x1043,8473
2018-12-03,1024x1280,4694
2018-12-03,1024x1366,109572
2018-12-03,1024x552,1300
2018-12-03,1024x576,14819
2018-12-03,1024x600,29531
2018-12-03,1024x614,1517
2018-12-03,1024x615,1810
2018-12-03,1024x640,13695
2018-12-03,1024x768,385243
2018-12-03,1024x819,55880
2018-12-03,1024x820,43463
2018-12-03,1032x581,1098
2018-12-03,1038x584,1688
2018-12-03,1044x768,1751
2018-12-03,1050x1680,4620
2018-12-03,1051x591,7704
2018-12-03,1067x600,30113
2018-12-03,1067x667,1596
2018-12-03,1067x800,3727
2018-12-03,1067x853,4850
2018-12-03,1078x808,1860
2018-12-03,1080x1920,21317
2018-12-03,1080x2220,1224
2018-12-03,1080x720,2498
2018-12-03,1082x2221,1858
2018-12-03,1088x612,1824
2018-12-03,1088x614,3394
2018-12-03,1088x615,4585
2018-12-03,1092x614,1323
2018-12-03,1093x614,81016
2018-12-03,1093x615,65730
2018-12-03,1094x730,1823
2018-12-03,1095x730,1497
2018-12-03,1097x617,26015
2018-12-03,1097x686,2036
2018-12-03,1098x618,10099
2018-12-03,1098x686,2705
2018-12-03,1103x621,2080
2018-12-03,1108x692,1139
2018-12-03,1113x890,5533
2018-12-03,1120x630,1164
2018-12-03,1120x700,23405
2018-12-03,1120x840,1401
2018-12-03,1129x635,3710
2018-12-03,1138x640,18948
